DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,P6430,RAMA4D_R4,INGLABO,DPTO,MES,fex_c_2018,RAMA4DP8_R4
5336657,1,1,1,60,52,52,2,,,,,,,,,,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2020,1,4000000,1,,3,,10,1,4,4,0,0,2,6,2,56,,.,42,6,,3,7,,1,,1,2,2,10,1,1,,,1,,,,,,2,2,1,4,26,4,,2,,,,,,,,10,11,15,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,5,,21,33,1,5,3312,4000000,52,01,24.099479246,
5336657,1,3,1,60,52,52,1,1,,,1,,1,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,2700000,1,,3,,7,2,,,,,1,1,1,56,,.,42,6,,3,7,,1,,1,2,2,2,1,1,,,,,,,,,1,2,1,4,12,1,,2,,,,,,,,3,11,15,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,03,33,1,4,3312,2700000,52,01,24.099479246,
5336792,1,1,1,60,52,52,1,2,2,12,1,,1,1,1,1,24,,5,,1,3500000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,1750000,1,3500000,1,1750000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,8,9,,1,,1,2,1,10,1,1,,,,,,,,,1,1,1,1,48,1,,2,,,,,,,,1,11,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,5,,02,42,1,1,4210,3500000,52,01,31.532325832,
5338071,1,2,1,60,52,52,2,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,800000,1,,3,,10,2,,,,,3,1,2,42,,.,42,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,10,60,1,,2,,,,,,,,1,3,2,,2,,,,1,1,1,1,2,1,2,2,1,1,1,INSEGURIDAD,2,1,2,2,1,2,2,1,5,,98,49,1,4,4921,800000,52,01,34.776768567,
5338072,1,1,1,60,52,52,2,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,500000,1,,3,,10,2,,,,,2,1,2,40,,.,40,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,5,120,4,,2,,,,,,,,10,9,60,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,61,01,1,4,0122,500000,52,01,32.666386053,
5338072,1,6,1,60,52,52,2,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,600000,1,,3,,8,2,,,,,3,1,2,48,,.,48,,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,4,5,1,,2,,,,,,,,3,12,15,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,57,96,1,4,9602,600000,52,01,32.666386053,
5338073,1,1,1,60,52,52,1,1,,,1,,2,2,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,700000,1,,3,,10,2,,,,,1,1,2,48,,.,48,,,3,7,,4,,2,,,,1,,,,1,,,,,,2,2,1,5,36,1,,2,,,,,,,,3,11,20,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,5,,84,45,1,4,4542,700000,52,01,17.027139336,
5338073,1,2,1,60,52,52,2,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,200000,1,,3,,8,2,,,,,3,1,2,36,1,,24,6,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,57,96,1,4,9602,200000,52,01,17.027139336,
5338074,1,1,1,60,52,52,2,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,600000,1,,3,,10,2,,,,,3,6,2,48,,.,28,6,,1,3,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,2,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,21,96,1,4,9602,600000,52,01,29.012174555,
5338075,1,1,1,60,52,52,2,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,600000,1,,3,,12,2,,,,,3,6,2,72,,.,72,,,1,1,,2,,2,,,,1,,,,1,,,,,,2,2,1,8,60,4,,2,,,,,,,,10,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,41,47,1,4,4711,600000,52,01,19.586414182,
