DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,P6430,RAMA4D_R4,INGLABO,DPTO,MES,fex_c_2018,RAMA4DP8_R4
5462137,1,4,1,60,52,52,2,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,100000,1,,3,,12,2,,,,,3,6,2,54,,.,54,,,1,1,,1,,3,,,,,.,,,,,,,,,2,2,1,24,390,1,,2,,,,,,,,4,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,10,DE LA PENSION,45,47,1,4,4729,100000,52,05,29.789306314,
5462137,2,1,2,60,52,52,1,2,2,6,1,,2,2,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,1100000,1,,3,,12,2,,,,,1,1,1,60,,.,60,,,9,7,,1,,1,2,2,10,1,1,,,,,,,,,1,2,1,2,72,1,,2,,,,,,,,1,15,30,,2,,,,1,1,1,1,1,2,2,2,1,2,2,,2,1,2,2,2,2,2,2,3,,59,86,1,4,8610,1100000,52,05,29.789306314,
5462138,1,2,1,60,52,52,2,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,600000,1,,3,,12,2,,,,,3,1,2,63,,.,48,6,,5,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,9,100,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,64,03,1,4,0311,600000,52,05,34.769879518,
5462139,1,2,1,60,52,52,2,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,600000,1,,3,,11,2,,,,,3,1,2,63,,.,48,6,,5,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,72,4,,2,,,,,,,,3,9,120,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,64,03,1,4,0311,600000,52,05,8.6924698795,
5462874,1,1,1,60,52,52,2,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,600000,1,,3,,10,2,,,,,3,1,2,56,,.,35,6,,5,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,3,9,4,,2,,,,,,,,3,9,90,1,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,64,03,1,4,0311,600000,52,05,34.769879518,
5464312,1,1,1,60,52,52,1,2,2,6,1,,1,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,1200000,1,,3,,12,2,,,,,1,1,1,48,,.,48,,,9,6,,1,,1,2,2,4,1,1,,,,,,,,,1,2,1,0,12,1,,2,,,,,,,,1,7,60,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,85,35,1,4,3514,1200000,52,05,28.192419751,
5464313,1,2,1,60,52,52,2,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,700000,1,,3,,10,2,,,,,1,1,1,48,,.,48,,,5,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,5,120,4,,2,,,,,,,,2,9,100,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,64,03,1,4,0311,700000,52,05,8.6924698795,
5464313,1,4,1,60,52,52,2,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,600000,1,,3,,10,2,,,,,1,1,1,48,,.,48,,,5,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,120,4,,2,,,,,,,,3,9,100,,2,,,,1,1,1,1,2,1,2,1,1,1,1,SE SIENTE CANSADO,2,1,2,2,1,2,2,1,3,,64,03,1,4,0311,600000,52,05,8.6924698795,
5464314,1,1,1,60,52,52,1,1,,,1,,2,2,2,2,6,,1,,2,400000,2,,,2,,2,,2,,2,,2,,,1,70000,2,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,6,,,,,,,,,35,1,,35,,,1,2,,2,,2,,,,1,,,,,,,,,1,2,2,1,6,12,3,,2,,,,,,,,3,3,10,,1,12,2,1,1,1,1,1,2,1,2,1,2,2,2,,1,1,2,2,1,2,2,1,3,,54,97,1,3,9700,400000,52,05,34.769879518,
5468588,1,1,1,60,52,52,2,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2021,2,3000000,1,,3,,12,1,4,4,0,0,3,6,2,48,,.,48,,,3,7,,1,,2,,,,1,,,1,,,,,,,2,2,1,0,120,4,,1,52,28,5,,2000000,2,7,2,11,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,51,56,1,5,5611,5000000,52,05,18.27341725,
5468588,1,2,1,60,52,52,2,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2021,2,2500000,1,,3,,11,1,2,2,0,0,3,6,2,56,,.,40,6,,2,7,,1,,2,,,,1,,,1,,,,,,,2,2,1,24,180,5,,2,,,,,,,,8,11,10,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,41,47,1,5,4771,2500000,52,05,18.27341725,
5468588,1,3,1,60,52,52,1,1,,,1,,2,2,2,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,1200000,1,,3,,11,2,,,,,1,1,1,48,,.,48,,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,12,18,4,,2,,,,,,,,1,11,10,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,45,47,1,4,4771,1200000,52,05,18.27341725,
5468592,1,1,1,60,52,52,1,2,1,,1,,1,1,1,1,408,,2,,2,3900000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,1,1500000,2,1,4000000,1,6000000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,5,7,,1,,1,2,1,34,1,1,,1,,,,,,,1,1,1,0,12,1,,2,,,,,,,,1,3,7,,2,,,,2,,,,,,,,,,,,,,1,1,1,1,1,1,1,,21,64,1,1,6412,3900000,52,05,8.6924698795,
5468755,1,1,1,60,52,52,2,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,1300000,1,,3,,12,2,,,,,3,3,2,48,,.,48,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,11,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,98,49,1,4,4921,1300000,52,05,34.769879518,
5474172,1,2,1,60,52,52,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,400000,1,,3,,4,1,1,0,1,0,2,1,2,40,,.,40,,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,12,18,1,,2,,,,,,,,3,12,20,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,77,10,1,4,1012,400000,52,06,11.600348339,
5474172,1,5,1,60,52,52,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,400000,1,,3,,4,1,1,0,1,0,2,1,2,40,,.,40,,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,12,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,2,3,,77,10,1,4,1012,400000,52,06,11.600348339,
5474173,1,1,1,60,52,52,1,2,2,6,1,,1,1,1,1,2,,1,,2,908500,2,,,2,,2,,1,200000,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,2,,,,,,,,,48,,.,48,,,9,8,,1,,1,2,1,0,1,1,,,,,,,,,1,1,1,14,24,1,,2,,,,,,,,2,7,60,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,2,8,,62,01,1,1,0126,908500,52,06,11.600348339,
5474173,1,2,1,60,52,52,1,1,,,1,,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,500000,1,,3,,1,2,,,,,1,1,1,48,,.,48,,,3,7,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,2,20,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,45,47,1,4,4771,500000,52,06,11.600348339,
5474174,1,2,1,60,52,52,2,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,800000,1,,3,,11,2,,,,,3,1,1,60,,.,48,6,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,5,1,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,8,,98,49,1,4,4921,800000,52,06,34.897096405,
5474175,1,1,1,60,52,52,2,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,400000,1,,3,,12,2,,,,,3,1,2,56,,.,40,6,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,41,47,1,4,4711,400000,52,06,46.401393355,
5474175,1,2,1,60,52,52,1,1,,,1,,1,2,2,2,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,600000,1,,3,,10,2,,,,,1,1,1,48,,.,48,,,5,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,240,1,,2,,,,,,,,1,3,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,81,16,1,4,1690,600000,52,06,46.401393355,
5474176,1,2,1,60,52,52,2,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,800000,1,,3,,10,1,3,0,3,0,2,1,1,40,,.,40,,,3,6,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,12,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,97,52,1,4,5224,800000,52,06,14.81478864,
5474176,1,3,1,60,52,52,1,1,,,1,,1,2,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,700000,1,,3,,11,2,,,,,1,1,2,48,,.,48,,,3,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,12,1,,2,,,,,,,,3,12,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,2,3,,57,96,1,4,9602,700000,52,06,14.81478864,
5474176,1,5,1,60,52,52,1,1,,,1,,1,2,2,2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,600000,1,,3,,11,2,,,,,1,1,2,48,,.,48,,,4,7,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,2,3,,81,16,1,4,1690,600000,52,06,14.81478864,
5474177,1,2,1,60,52,52,1,1,,,1,,1,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,900000,1,,3,,9,2,,,,,1,1,1,48,,.,48,,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,3,12,4,,2,,,,,,,,3,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,45,47,1,4,4771,900000,52,06,11.600348339,
5474177,1,7,1,60,52,52,2,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,600000,1,,3,,11,2,,,,,3,3,2,48,,.,48,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,9,60,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,61,01,1,4,0122,600000,52,06,11.600348339,
5474179,1,1,1,60,52,52,2,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,600000,1,,3,,10,2,,,,,3,1,2,70,,.,70,,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,120,4,,2,,,,,,,,13,3,5,,2,,,,1,1,1,1,1,1,2,2,2,2,2,,2,1,2,2,2,2,2,2,5,,41,47,1,4,4721,600000,52,06,46.401393355,
5474180,1,1,1,60,52,52,2,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,600000,1,,3,,10,2,,,,,2,1,2,48,,.,32,6,,1,2,,2,,2,,,,1,,,,,,,,,1,2,2,1,1,2,4,,2,,,,,,,,1,12,15,1,1,20,2,1,2,,,,,,,,,,,,,,1,2,1,2,2,1,9,,95,41,1,4,4111,600000,52,06,11.600348339,
5474181,1,1,1,60,52,52,2,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,600000,1,,3,,11,2,,,,,3,3,2,48,,.,48,,,1,7,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,12,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,41,47,1,4,4724,600000,52,06,11.600348339,
5474182,1,2,1,60,52,52,1,1,,,1,,2,2,2,2,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,1000000,1,,3,,12,2,,,,,3,1,1,56,,.,56,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,1,1,,2,,,,,,,,3,12,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,2,5,,98,49,1,4,4921,1000000,52,06,11.600348339,
5474183,1,2,1,60,52,52,2,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,700000,1,,3,,12,2,,,,,3,1,1,48,,.,48,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,6,1,,2,,,,,,,,1,9,60,,2,,,,1,1,1,1,2,1,2,2,1,1,2,,1,1,2,2,1,2,2,1,8,,61,01,1,4,0122,700000,52,06,11.600348339,
5474184,1,1,1,60,52,52,1,2,2,6,1,,1,1,1,1,60,,2,,2,908500,2,,,2,,2,,2,,2,,2,,,1,106000,2,2,,,2,,,2,,,2,,,1,400000,1,400000,2,,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,48,,.,48,,,5,7,,1,,1,2,1,5,1,1,,,,,,,,,1,1,1,36,12,1,,2,,,,,,,,3,2,40,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,1,,33,46,1,1,4663,908500,52,06,11.600348339,
5474185,1,1,1,60,52,52,2,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,400000,1,,3,,10,2,,,,,3,4,2,48,,.,36,6,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,4,240,4,,2,,,,,,,,2,14,,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,85,95,1,4,9522,400000,52,06,21.47608221,
5474187,1,1,1,60,52,52,1,2,1,,1,,1,1,1,1,60,,2,,2,2200000,2,,,2,,2,,2,,2,,2,,,1,106000,1,2,,,2,,,2,,,2,,,1,1100000,1,2200000,1,1100000,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,48,,.,48,,,6,7,,1,,1,2,1,5,1,1,,,,,,,,,1,2,2,,,,,2,,,,,,,,,11,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,33,64,1,1,6412,2200000,52,06,46.401393355,
5474188,1,1,1,60,52,52,2,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2021,1,5500000,1,,3,,12,1,9,9,0,0,3,6,2,48,,.,48,,,4,7,,1,,1,2,2,25,1,1,,,,,,,,,1,2,1,1,12,4,,2,,,,,,,,10,3,4,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,41,46,1,5,4631,5500000,52,06,46.401393355,
5474190,1,1,1,60,52,52,2,,,,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2021,2,2000000,1,,3,,12,1,5,4,1,0,3,6,2,56,,.,56,,,4,7,,1,,1,2,2,25,1,1,,,,,,,,,1,2,2,,,,,2,,,,,,,,,3,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,41,46,1,5,4631,2000000,52,06,11.600348339,
5474190,1,2,1,60,52,52,2,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2021,2,2000000,1,,3,,12,1,5,4,1,0,3,6,2,56,,.,56,,,4,7,,1,,1,2,2,15,1,1,,,,,,,,,1,2,2,,,,,2,,,,,,,,,3,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,41,46,1,5,4631,2000000,52,06,11.600348339,
5474191,1,1,1,60,52,52,2,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,2000000,1,,3,,12,1,4,3,1,0,3,6,2,48,,.,48,,,3,7,,1,,1,2,2,18,1,1,,,,,,,,,1,2,1,4,6,1,,2,,,,,,,,10,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,51,56,1,5,5611,2000000,52,06,18.935783456,
5474191,1,2,1,60,52,52,2,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2021,2,2000000,1,,3,,12,1,4,3,1,0,3,6,2,48,,.,48,,,3,7,,1,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,51,56,1,5,5611,2000000,52,06,18.935783456,
5474193,1,1,1,60,52,52,1,1,,,1,,1,2,2,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2000000,1,,3,,11,2,,,,,3,3,2,48,,.,48,,,3,7,,1,,1,2,2,5,1,1,,,,,,,,,1,2,1,6,24,1,,2,,,,,,,,1,9,40,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,50,55,1,4,5511,2000000,52,06,46.401393355,
5474194,1,1,1,60,52,52,2,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,3000000,1,,3,,12,1,1,1,0,0,3,3,2,54,,.,54,,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,12,4,,2,,,,,,,,10,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,41,46,1,5,4631,3000000,52,06,21.430304575,
5474341,1,3,1,60,52,52,1,1,,,1,,1,2,2,2,6,,1,,2,400000,2,,,2,,2,,2,,2,,2,,,1,70000,2,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,6,,,,,,,,,30,1,,30,,,1,2,,2,,2,,,,1,,,,,,,,,1,2,2,1,12,12,3,,2,,,,,,,,3,11,10,,1,18,2,1,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,54,97,1,3,9700,400000,52,06,46.401393355,
5474342,1,1,1,60,52,52,1,2,2,12,2,4,1,1,1,1,12,,1,,2,1200000,2,,,2,,2,,2,,2,,2,,,1,106000,1,2,,,2,,,2,,,2,,,1,600000,1,600000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,6,7,,1,,1,2,1,12,1,1,,,,,,,,,1,1,1,2,12,1,,2,,,,,,,,1,12,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,58,85,1,1,8551,1200000,52,06,11.600348339,8010
5474342,1,2,1,60,52,52,1,2,2,12,2,4,1,2,1,1,12,,2,,2,450000,2,,,2,,2,,2,,2,,2,,,1,58000,1,2,,,2,,,2,,,2,,,1,225000,1,225000,2,,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,24,2,,24,,,9,7,,1,,1,2,1,9,1,1,,,,,,,,,1,1,1,2,24,1,,2,,,,,,,,1,3,10,,1,24,1,1,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,54,84,1,1,8413,450000,52,06,11.600348339,7810
5474849,1,1,1,60,52,52,1,1,,,1,,1,2,2,2,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,400000,1,,3,,11,2,,,,,2,1,2,48,,.,48,,,3,2,,1,,2,,,,1,,,,,,,,,1,2,2,1,2,360,4,,2,,,,,,,,8,3,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,1,2,1,5,,95,16,1,4,1630,400000,52,06,21.47608221,
5474849,1,2,1,60,52,52,2,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,2,100000,1,,3,,12,2,,,,,3,1,2,35,2,,35,,,8,1,,1,,1,2,2,15,1,1,,,,,,,,,2,2,1,4,60,4,,2,,,,,,,,1,14,,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,45,47,1,4,4792,100000,52,06,21.47608221,
5474850,1,2,1,60,52,52,1,2,2,6,1,,2,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,1700000,1,,3,,12,2,,,,,1,1,1,48,,.,48,,,9,6,,1,,1,2,2,6,1,1,,,,,,,,,1,2,1,0,6,4,,2,,,,,,,,1,12,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,58,84,1,4,8412,1700000,52,06,11.600348339,
5474851,1,1,1,60,52,52,1,2,1,,1,,1,1,1,1,72,,1,,2,908000,2,,,2,,2,,2,,2,,2,,,1,106000,2,2,,,2,,,2,,,2,,,1,420000,1,420000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,5,7,,1,,1,2,1,6,1,1,,,,,,,,,1,2,1,36,12,1,,2,,,,,,,,1,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,1,,53,56,1,1,5611,908000,52,06,27.970764263,
5474851,1,3,1,60,52,52,1,2,2,12,1,,1,2,1,1,9,,2,,2,908000,2,,,2,,2,,2,,2,,2,,,1,106000,2,2,,,2,,,2,,,2,,,2,,1,456000,2,,2,,2,,2,,,.,,,,,,,,,.,9,,,,,,,,,48,,.,48,,,9,7,,1,,1,2,1,1,1,1,,,,,,,,,1,2,1,2,8,4,,2,,,,,,,,1,3,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,58,46,1,1,4631,908000,52,06,27.970764263,
5474852,1,1,1,60,52,52,2,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,300000,1,,3,,8,2,,,,,3,6,2,48,,.,38,6,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,5,,57,96,1,4,9602,300000,52,06,11.600348339,
5474853,1,1,1,60,52,52,1,2,1,,1,,2,1,1,1,12,,6,,1,908000,2,,,2,,2,,2,,2,,2,,,1,106000,2,2,,,2,,,2,,,2,,,1,453000,1,453000,2,,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,48,,.,48,,,6,7,,1,,1,2,1,1,1,1,,,,,,,,,1,1,1,7,36,4,,2,,,,,,,,11,3,20,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,45,46,1,1,4663,908000,52,06,34.897096405,
5474853,1,2,1,60,52,52,1,2,2,12,1,,2,2,2,2,24,,1,,2,300000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,20,1,,20,,,3,7,,1,,1,2,1,3,1,1,,,,,,,,,2,2,1,3,12,1,,2,,,,,,,,1,3,20,,2,,,,1,1,1,1,2,1,2,2,2,2,2,,2,1,2,2,2,2,2,1,7,,33,49,1,1,4921,300000,52,06,34.897096405,
5474854,1,1,1,60,52,52,1,2,2,12,2,4,1,1,1,1,208,,1,,2,1200000,2,,,2,,2,,2,,2,,2,,,1,106000,1,2,,,2,,,2,,,2,,,1,600000,1,600000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,7,7,,1,,1,2,1,18,1,1,,,,,,,,,1,1,1,8,36,1,,2,,,,,,,,1,11,18,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,58,46,1,1,4632,1200000,52,06,11.600348339,8010
5474855,1,1,1,60,52,52,1,2,2,12,1,,1,1,1,1,12,,1,,2,908500,2,,,2,,2,,1,180000,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,450000,1,450000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,8,,1,,1,2,1,16,1,1,,,,,,,,,1,1,1,0,12,1,,2,,,,,,,,1,7,60,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,2,3,,62,01,1,1,0126,908500,52,06,34.897096405,
